Fusarium oxysporum
Fusarium reticulatum
Fusarium sambucinum
Fusarium sarcochroum
Fusarium solani
Fusarium sporotrichioides
Fusarium acuminatum subsp. acuminatum
Fuscoporia ferrea
Fuscoporia ferruginosa
Fuscoporia gilva
Fusicoccum obtusulum
Fusidium griseum
Ganoderma applanatum
Ganoderma curtisii
Ganoderma lucidum
Ganoderma resinaceum
Geosmithia proliferans
Geotrichum candidum
Gibberella maxima
Ginnsia viticola
Gjaerumia minor
Globifomes graveolens
Globisporangium intermedium
Gloeocystidiellum clavuligerum
Gloeocystidiellum porosum
Gloeodontia columbiensis
Gloeohypochnicium analogum
Gloeophyllum sepiarium
Gloeophyllum trabeum
Gloeosporidium acericola
Gloeosporium aceris
Gloeosporium affine
Gloeosporium apocryptum var. ramicola
Gloeosporium decolorans
Gloeosporium oblongisporium
Gloeosporium tremellinum
Gloeosporium saccharini
Glyphium corrugatum
Glyphium elatum
Gnomonia cerastis
Gnomoniella petiolophila
Gongromerizella lignicola
Granulobasidium vellereum
Graphium euwallaceae
Graphium giganteum
Graphostroma platystomum
Grifola frondosa
Grovesinia moricola
Grovesinia pyramidalis
Guepiniopsis buccina
Gymnopilus junonius
Gymnopus brassicolens
Gymnopus foetidus
Gymnosporangium cornutum
Hapalopilus rutilans
Haplotrichum croceum
Harringtonia brunnea
Helicobasidium purpureum
Helicodendron triglitziense
Helicogloea exigua
Helicogloea sebacea
Helicoma polysporum
Helicoma proliferens
Helicoma repens
Helicosporium auratum
Helminthosphaeria mammillata
Helminthosporium quercicola
Helminthosporium subolivaceum
Helminthosporium velutinum
Hemistropharia albocrenulata
Hendersonia acericola
Hendersonia collapsa
Hendersonia sarmentorum
Hericium americanum
Hericium coralloides
Hericium erinaceus
Herpotrichia incisa
Herpotrichia macrotricha
Heterobasidion annosum
Heterosporium pseudoplatani
Hohenbuehelia nigra
Hohenbuehelia piperiformis
Hydnoporia corrugata
Hydnoporia olivacea
Hydnoporia tabacina
Hydnum carbonarium
Hydnum combinans
Hydropisphaera peziza
Hygrophorus lignicola
Hymenochaete carpatica
Hymenochaete cinnamomea
Hymenochaete rubiginosa
Hymenochaete spreta
Hymenoscyphus calyculus
Hymenoscyphus rufescens
Hymenoscyphus tetracladius
Hyphoderma litschaueri
Hyphoderma setigerum
Hyphodontia arguta
Hyphodontia setulosa
Hyphodontia spathulata
Hypholoma fasciculare
Hypochnicium bombycinum
Hypochnicium punctulatum
Hypochnicium sphaerosporum
Hypochnus botryoides
Hypocrea gelatinosa
Hypocrea lenta
Hypocreopsis lichenoides
Hypocreopsis macrostoma
Hypoderma rubi
Hypoderma rufilabrum
Hypomyces aurantius
Hypomyces rosellus
Hypoxylon crocopeplum
Hypoxylon dearnessii
Hypoxylon deustum
Hypoxylon ferrugineum
Hypoxylon fragiforme
Hypoxylon fuscopurpureum
Hypoxylon fuscum
Hypoxylon howeanum
Hypoxylon investiens
Hypoxylon jecorinum
Hypoxylon macrocarpum
Hypoxylon rubiginosum
Hypoxylon subrutilum
Hypoxylon vogesiacum
Hypsizygus elongatipes
Hypsizygus ulmarius
Hysterium pulicare
Hysterobrevium curvatum
Hysterographium acerinum
Hysterographium flexuosum
Illosporium diedickeanum
Illosporium maculicola
Immersiella caudata
Immotthia atrograna
Inocutis rheades
Inonotus cuticularis
Inonotus hispidus
Inonotus obliquus
Inonotus rickii
Irpex lacteus
Irpex latemarginatus
Irpiciporus pachyodon
Ischnoderma resinosum
Isthmolongispora minima
Itersonilia perplexans
Jackrogersella cohaerens
Jackrogersella multiformis
Jalapriya toruloides
Jamesreidia rostrocoronata
Jamesreidia tenella
Jattaea allantospora
Jattaea discreta
Jattaea echinella
Jattaea microtheca
Jumillera hypophlaea
Junghuhnia collabens
Junghuhnia nitida
Keissleriella alpina
Keithomyces carneus
Kirschsteiniothelia acerina
Kirschsteiniothelia atra
Kirschsteiniothelia recessa
Kneiffia subalutacea
Kretzschmaria deusta
Lachnum echinulatum
Lachnum rhytismatis
Laestadia brunnea
Laestadia glaucescens
Laetiporus sulphureus
Lanzia luteovirescens
Lanzia vacini
Lasiosphaeria ovina
Lasiosphaeria pallida
Lasiosphaeris hirsuta
Laxitextum bicolor
Lecanicillium dimorphum
Lecophagus muscicola
Lemonniera aquatica
Lemonniera filiformis
Lemonniera pseudofloscula
Lemonniera terrestris
Lentinellus cochleatus
Lentinellus micheneri
Lentinellus ursinus
Lentinus arcularius
Lentinus brumalis
Lentinus levis
Lentodium squamulosum
Lenzites betulinus
Lenzites betulinus
Lepra pustulata
Leptosphaeria diana
Leptosphaeria dioica
Leptosphaeria obesula
Leptospora rubella
Leptosporomyces fuscostratus
Leptothyrella aceris
Leptothyrium maximum
Libertella acerina
Licea operculata
Licrostroma subgiganteum
Lilaceophlebia ochraceofulva
Lopharia cinerascens
Lophiostoma angustilabrum
Lophiostoma compressum
Lophiostoma excipuliforme
Lophiostoma lignorum
Lophiostoma nucula
Lophiostoma pileatum
Lophiostoma quadrinucleatum
Lophodermium punctiforme
Lycogala epidendrum
Lycogala flavofuscum
Lycoperdon pyriforme
Lycoperdon umbrinum
Lyomyces crustosus
Lyomyces pruni
Lyomyces sambuci
Macrodiplodiopsis desmazieri
Macrophoma negundinis
Macrophomina phaseolina
Macroplodia simillima
Macrotyphula phacorrhiza
Maireina ochracea
Marasmiellus candidus
Marasmius rotula
Marquandomyces marquandii
Marssonina decolorans
Marssonina truncatula
Massaria anomia
Massaria inquinans
Massaria macra
Massaria platanoidea
Massaria vomitoria
Massarina eccentrica
Massarina neesii
Massarina plumigera
Massariosphaeria thurgoviensis
Massariovalsa sudans
Mastigosporella nyssae
Megalocystidium leucoxanthum
Meganotus everhartii
Melanconiopsis inquinans
Melanconis everhartii
Melanconium acerinum
Melanconium atrum
Melanomma medium
Melanomma pulvis-pyrius
Melanopsamma pomiformis
Meliola aceris
Meliola amphitricha
Menispora glauca
Merismodes anomala
Metasphaeria microecia
Metatrichia vesparia
Microbotryum reticulatum
Microdiplodia subtecta
Micropera padina
Microsphaeropsis olivacea
Mollisina acerina
Monochaetia kansensis
Monochaetia monochaeta
Monodictys paradoxa
Monostichella hysterioidea
Monostichella hysterioidea
Montagnella acerina
Mutatoderma heterocystidium
Mutatoderma mutatum
Mycena corticola
Mycena haematopoda
Mycena meliigena
Mycena renati
Mycetinis alliaceus
Mycoacia fuscoatra
Mycoacia uda
Mycocentrospora acerina
Mycogloea carnosa
Mycosphaerella latebrosa
Mycosphaerella maculiformis
Mycosphaerella punctiformis
Mycosphaerella sphaerellula
Myriangium duriaei
Myrmaecium fulvopruinatum
Myrmaecium rubricosum
Myxarium nucleatum
Myxosporium acerinum
Myxosporium roumeguerei
Myxosporium seriatum
Myxosporium negundinicola
Naemaspora microsperma
Naemosphaera acerina
Naevia pediculorum
Naeviopsis acericola
Necator salmonicolor
Nectria cinnabarina
Nectria dematiosa
Nectria nigrescens
Nectria pallidula
Nectriopsis oropensoides
Nemania aenea
Nemania albocincta
Nemania chestersii
Nemania serpens
Nemania sphaeriostoma
Neoantrodia morganii
Neocosmospora ambrosia
Neocosmospora euwallaceae
Neocosmospora floridana
Neocucurbitaria acerina
Neocucurbitaria cava
Neodidymelliopsis negundinis
Neofusicoccum luteum
Neofusicoccum parvum
Neofusicoccum ribis
Neohendersonia kickxii
Neonectria caespitosa
Neonectria coccinea
Neonectria ditissima
Neonectria punicea
Neosetophoma samarorum
Nigrospora oryzae
Niptera stictella
Nitschkia collapsa
Nitschkia parasitans
Niveoporofomes spraguei
Ochrolechia turneri
Oedocephalum crystallinum
Ophiocordyceps clavulata
Ophiognomonia setacea
Ophiostoma sparsiannulatum
Orbilia coccinella
Orbilia crenatomarginata
Orbilia luteorubella
Osteina undosa
Otthia aceris
Otthia spiraeae
Otthia winteri
Oxyporus corticola
Oxyporus obducens
Oxyporus populinus
Oxyporus similis
Panellus stipticus
Panus neostrigosus
Panus rudis
Pappia fissilis
Parachnopeziza miniopsis
Paracremonium pembeum
Parafenestella pseudoplatani
Passalora acericola
Patellaria atrata
Patellaria compressa
Penicillium brevicompactum
Penicillium citrinum
Penicillium glabrum
Penicillium granulatum
Penicillium herquei
Penicillium implicatum
Penicillium lividum
Penicillium multicolor
Penicillium thomii
Peniophora albobadia
Peniophora cinerea
Peniophora decorticans
Peniophora incarnata
Peniophora malenconii
Peniophora miniata
Peniophora nuda
Peniophora pithya
Peniophora polygonia
Peniophora versiformis
Peniophora violaceolivida
Peniophorella guttulifera
Peniophorella praetermissa
Peniophorella pubera
Perenniporia fraxinophila
Perenniporia ohiensis
Peroneutypa scoparia
Pestalotia zahlbruckneriana
Pestalotiopsis adusta
Petrakia deviata
Petrakia echinata
Petrakia irregularis
Peyronellaea obtusa
Pezicula acericola
Pezicula carnea
Pezicula cinnamomea
Pezicula eucrita
Pezicula livida
Pezicula spicata
Pezicula spiculata
Pezicula subcarnea
Peziza paludicola
Phacidium negundinis
Phaeoacremonium leptorhynchum
Phaeobotryon negundinis
Phaeodothis winteri
Phaeoisaria clematidis
Phaeoisaria sparsa
Phaeophlebiopsis ravenelii
Phaeophyscia orbicularis
Phaeostalagmus arbusculus
Phaeotremella foliacea
Phanerochaete affinis
Phanerochaete carnosa
Phanerochaete laevis
Phanerochaete sordida
Phanerochaete velutina
Phellinopsis conchata
Phellinus fragrans
Phellinus igniarius
Phellinus laevigatus
Phellinus viticola
Phialocephala botulispora
Phialocephala lagerbergii
Phlebia acerina
Phlebia ludoviciana
Phlebia radiata
Phlebia rufa
Phlebia subserialis
Phlebia tremellosa
Phlebiella sulphurea
Phleogena faginea
Phloeospora aceris
